"id","fname","ename","company","bussiness_group","board","name_type","symbol_status","code"
"480","غناب","RNAB1","روغن نباتی ناب","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1RNAB0001"
"481","غنابح","RNAX1","ح . روغن نباتی ناب","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1RNAB0101"
"482","غنوش","NOSH1","نوش مازندران","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1NOSH0001"
"483","غنوشح","NOSX1","ح . نوش مازندران","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1NOSH0101"
"484","غیوان","KIVN1","کیوان","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1KIVN0001"
"485","غیوانح","KIVX1","ح . کیوان","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1KIVN0101"
"486","فاذر","AZAB1","صنایع آذر آب","ساخت محصولات فلزی","فهرست اولیه","خاص","تعلیق شده","IRO1AZAB0001"
"487","فاذرح","AZAX1","ح . صنایع آذر آب","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRR1AZAB0101"
"488","فاراک","MARK1","ماشین سازی اراک","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRO1MARK0001"
"489","فاراکح","MARX1","ح . ماشین سازی اراک","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRR1MARK0101"
"490","فارس","PKLJ1","صنایع پتروشیمی خلیج‌فارس","محصولات شیمیایی","فهرست اولیه","عام1","فعال","IRO1PKLJ0001"
"491","فاسمین","KSIM1","کالسیمین","فلزات اساسی","تابلو اصلی","خاص","فعال","IRO1KSIM0001"
"492","فاسمینح","KSIX1","ح . کالسیمین","فلزات اساسی","تابلو اصلی","خاص","فعال","IRR1KSIM0101"
"493","فالوم","ALTK1","آلومتک","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1ALTK0001"
"494","فالومح","ALTX1","ح . آلومتک","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1ALTK0101"
"495","فاما","SAMA1","صنعتی آما","ساخت محصولات فلزی","تابلو فرعی","خاص","فعال","IRO1SAMA0001"
"496","فاماح","SAMX1","ح . صنعتی آما","ساخت محصولات فلزی","تابلو فرعی","خاص","فعال","IRR1SAMA0101"
"497","فاهواز","NLAH1","نور دولوله اهواز","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1NLAH0001"
"498","فاهوازح","NLAX1","ح . نور دولوله اهواز","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1NLAH0101"
"499","فایرا","ALIR1","آلومینیوم ایران","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1ALIR0001"
"500","فایراح","ALIX1","ح . آلومینیوم ایران","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1ALIR0101"
"501","فباهنر","BAHN1","مس شهید باهنر","فلزات اساسی","تابلو اصلی","خاص","فعال","IRO1BAHN0001"
"502","فباهنرح","BAHX1","ح . مس شهید باهنر","فلزات اساسی","تابلو اصلی","خاص","فعال","IRR1BAHN0101"
"503","فبستم","BMAS1","صنایع بسته‌بندی مشهد","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRO1BMAS0001"
"504","فبستمح","BMAX1","ح . صنایع بسته‌بندی مشهد","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRR1BMAS0101"
"505","فبیرا","BIRI1","بسته‌بندی ایران","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRO1BIRI0001"
"506","فبیراح","BIRX1","ح . بسته‌بندی ایران","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRR1BIRI0101"
"507","فپارس","ALPS1","آلومینیم پارس","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1ALPS0001"
